Time Stamp,RRI,Passed Time
170936,698,1115705
170937,700,1116405
170938,704,1117109
170938,800,1117909
170939,700,1118609
170940,700,1119309
170941,896,1120205
170941,801,1121006
170942,899,1121905
170943,800,1122705
170944,904,1123609
170945,900,1124509
170946,800,1125309
170947,801,1126110
170947,699,1126809
170948,801,1127610
170949,698,1128308
170949,701,1129009
170950,699,1129708
170951,702,1130410
170952,796,1131206
170953,902,1132108
170953,798,1132906
170954,800,1133706
170955,801,1134507
170956,600,1135107
170956,701,1135808
170957,699,1136507
170958,701,1137208
170958,799,1138007
170959,799,1138806
171000,698,1139504
171001,701,1140205
171001,801,1141006
171002,703,1141709
171003,796,1142505
171004,802,1143307
171005,801,1144108
171005,701,1144809
171006,697,1145506
171007,602,1146108
171007,697,1146805
171008,802,1147607
171009,797,1148404
171010,801,1149205
171010,704,1149909
171011,796,1150705
171012,704,1151409
171013,700,1152109
171013,597,1152706
171014,799,1153505
171015,703,1154208
171015,796,1155004
171016,703,1155707
171017,698,1156405
171018,703,1157108
171018,698,1157806
171019,701,1158507
171020,799,1159306
171020,699,1160005
171021,703,1160708
171022,696,1161404
171023,803,1162207
171023,698,1162905
171024,703,1163608
171025,700,1164308
171026,799,1165107
171026,699,1165806
171027,801,1166607
171028,700,1167307
171028,700,1168007
171029,598,1168605
171030,604,1169209
171030,695,1169904
171031,603,1170507
171032,799,1171306
171032,698,1172004
171033,700,1172704
171034,804,1173508
171035,700,1174208
171035,603,1174811
171036,693,1175504
171037,704,1176208
171037,800,1177008
171038,896,1177904
171039,801,1178705
171040,700,1179405
171041,800,1180205
171041,701,1180906
171042,698,1181604
171043,704,1182308
171043,598,1182906
171044,703,1183609
171045,801,1184410
171046,796,1185206
171046,799,1186005
171047,601,1186606
171048,703,1187309
171048,696,1188005
171049,699,1188704
171050,701,1189405
171051,804,1190209
171051,597,1190806
171052,698,1191504
171053,704,1192208
171053,600,1192808
171054,598,1193406
171055,701,1194107
171055,597,1194704
171056,702,1195406
171056,699,1196105
171057,702,1196807
171058,801,1197608
171059,699,1198307
171059,698,1199005
171100,699,1199704
171101,604,1200308
171101,700,1201008
171102,699,1201707
171103,600,1202307
171103,600,1202907
171104,600,1203507
171105,601,1204108
171105,600,1204708
171106,597,1205305
171106,700,1206005
171107,703,1206708
171108,699,1207407
171108,599,1208006
171109,600,1208606
171110,602,1209208
171110,598,1209806
171111,599,1210405
171111,698,1211103
171112,600,1211703
171113,703,1212406
171114,702,1213108
171114,697,1213805
171115,701,1214506
171116,698,1215204
171116,701,1215905
171117,703,1216608
171118,698,1217306
171118,698,1218004
171119,701,1218705
171120,804,1219509
171121,695,1220204
171121,703,1220907
171122,699,1221606
171123,798,1222404
171124,804,1223208
171124,798,1224006
171125,702,1224708
